CRIM,ZNRES,ZNIND,CHAR,NROOMS,AGE,DISC,BATH,IPTU,PRATIO,DISM,MEDV
2.3139,0,19.58,0,3,97,52.887,1,403,14.7,4.3887,19.1
0.13914,0,4.05,0,3,89,49.961,2,296,16.6,3.5961,23.1
0.09178,0,4.05,0,4,84,39.463,4,296,16.6,9.6463,23.6
0.08447,0,4.05,0,3,69,44.019,3,296,16.6,4.7019,22.6
0.06664,0,4.05,0,4,33,39.323,2,296,16.6,12.1323,29.4
0.07022,0,4.05,0,4,47,41.549,4,296,16.6,16.5549,23.2
0.05425,0,4.05,0,4,73,59.175,2,296,16.6,21.3175,24.6
0.06642,0,4.05,0,4,74,46.153,3,296,16.6,21.9153,29.9
0.0578,0,2.46,0,4,58,47.29,3,193,17.8,9.829,37.2
0.06588,0,2.46,0,5,83,53.41,2,193,17.8,20.741,39.8
0.06888,0,2.46,0,4,62,25.979,3,193,17.8,14.5979,36.2
0.09103,0,2.46,0,5,92,42.006,2,193,17.8,10.7006,37.9
0.10008,0,2.46,0,4,96,36.47,1,193,17.8,21.847,32.5
0.08308,0,2.46,0,3,90,58.879,4,193,17.8,12.9879,26.4
0.06047,0,2.46,0,4,69,53.797,2,193,17.8,7.2797,29.6
0.05602,0,2.46,0,5,54,61.992,2,193,17.8,11.1992,50
0.07875,45,3.44,0,4,41,56.886,4,398,15.2,10.7886,32
0.12579,45,3.44,0,4,29,70.667,2,398,15.2,12.5667,29.8
0.0837,45,3.44,0,5,39,46.667,2,398,15.2,20.5667,34.9
0.09068,45,3.44,0,4,22,72.798,2,398,15.2,19.4798,37
0.06911,45,3.44,0,4,31,81.798,4,398,15.2,14.4798,30.5
0.08664,45,3.44,0,5,26,79.798,1,398,15.2,18.4798,36.4
0.02187,60,2.93,0,4,10,69.196,4,265,15.6,24.2196,31.1
0.01439,60,2.93,0,4,19,86.196,3,265,15.6,19.2196,29.1
0.01381,80,0.46,0,5,32,86.484,3,255,14.4,25.6484,50
0.04011,80,1.52,0,5,34,92.09,4,329,12.6,27.309,33.3
0.04666,80,1.52,0,5,37,79.09,3,329,12.6,8.309,30.3
0.03768,80,1.52,0,5,38,96.09,4,329,12.6,12.309,34.6
0.0315,95,1.47,0,4,15,95.534,2,402,17,13.6534,34.9
0.01778,95,1.47,0,5,14,81.534,4,402,17,14.6534,32.9
0.03445,82.5,2.03,0,4,38,62.7,1,348,14.7,21.27,24.1
0.02177,82.5,2.03,0,5,16,76.7,2,348,14.7,26.27,42.3
0.0351,95,2.68,0,5,33,81.18,1,224,14.7,24.118,48.5
0.02009,95,2.68,0,6,32,67.18,1,224,14.7,22.118,50
0.13642,0,10.59,0,3,22,53.454,4,277,18.6,21.9454,22.6
0.22969,0,10.59,0,4,53,44.549,1,277,18.6,20.3549,24.4
0.25199,0,10.59,0,3,73,58.549,2,277,18.6,16.3549,22.5
0.13587,0,10.59,1,4,59,67.392,2,277,18.6,7.2392,24.4
0.43571,0,10.59,1,3,100,48.75,4,277,18.6,19.875,20
0.17446,0,10.59,1,3,92,54.771,1,277,18.6,5.8771,21.7
0.37578,0,10.59,1,3,89,61.65,3,277,18.6,11.665,19.3
0.21719,0,10.59,1,3,54,42.526,1,277,18.6,21.6526,22.4
0.14052,0,10.59,0,4,32,43.454,4,277,18.6,13.9454,28.1
0.28955,0,10.59,0,3,10,54.875,2,277,18.6,9.5875,23.7
0.19802,0,10.59,0,4,42,48.454,1,277,18.6,23.9454,25
0.0456,0,13.89,1,3,56,40.121,2,276,16.4,19.1121,23.3
0.07013,0,13.89,0,4,85,64.211,3,276,16.4,7.4211,28.7
0.11069,0,13.89,1,3,94,57.893,1,276,16.4,12.8893,21.5
0.11425,0,13.89,1,4,92,43.633,2,276,16.4,19.3633,23
0.35809,0,6.2,1,4,89,53.617,4,307,17.4,21.8617,26.7
0.40771,0,6.2,1,4,91,50.48,2,307,17.4,14.048,21.7
0.62356,0,6.2,1,4,78,50.721,2,307,17.4,20.2721,27.5
0.6147,0,6.2,0,4,81,53.721,4,307,17.4,16.2721,30.1
0.31533,0,6.2,0,6,78,56.944,2,307,17.4,21.8944,44.8
0.52693,0,6.2,0,6,83,49.944,3,307,17.4,12.8944,50
0.38214,0,6.2,0,6,87,50.157,2,307,17.4,13.2157,37.6
0.41238,0,6.2,0,5,80,54.157,3,307,17.4,17.2157,31.6
0.29819,0,6.2,0,5,17,37.751,2,307,17.4,20.3751,46.7
0.44178,0,6.2,0,4,21,48.751,4,307,17.4,4.3751,31.5
0.537,0,6.2,0,3,68,39.715,3,307,17.4,22.6715,24.3
0.46296,0,6.2,0,5,77,59.715,4,307,17.4,9.6715,31.7
0.57529,0,6.2,0,6,73,68.384,3,307,17.4,18.8384,41.7
0.33147,0,6.2,0,6,70,52.519,3,307,17.4,21.6519,48.3
0.44791,0,6.2,1,4,67,46.519,4,307,17.4,8.6519,29
0.33045,0,6.2,0,4,62,53.519,2,307,17.4,21.6519,24
0.52058,0,6.2,1,4,77,71.48,3,307,17.4,13.148,25.1
0.51183,0,6.2,0,5,72,67.48,1,307,17.4,15.148,31.5
0.08244,30,4.93,0,4,19,61.899,1,300,16.6,24.1899,23.7
0.09252,30,4.93,0,4,42,67.899,2,300,16.6,26.1899,23.3
0.11329,30,4.93,0,4,54,82.361,1,300,16.6,11.3361,22
0.10612,30,4.93,0,4,65,80.361,4,300,16.6,13.3361,20.1
0.1029,30,4.93,0,4,53,85.355,2,300,16.6,27.0355,22.2
0.12757,30,4.93,0,4,8,91.355,3,300,16.6,20.0355,23.7
0.20608,22,5.86,0,3,77,79.549,3,330,19.1,23.9549,17.6
0.19133,22,5.86,0,3,70,91.549,4,330,19.1,20.9549,18.5
0.33983,22,5.86,0,4,35,108.555,4,330,19.1,15.0555,24.3
0.19657,22,5.86,0,4,79,91.555,4,330,19.1,14.0555,20.5
0.16439,22,5.86,0,4,49,99.265,3,330,19.1,11.8265,24.5
0.19073,22,5.86,0,4,18,93.265,2,330,19.1,10.8265,26.2
0.1403,22,5.86,0,4,13,80.967,4,330,19.1,9.3967,24.4
0.21409,22,5.86,0,4,9,83.967,3,330,19.1,23.3967,24.8
0.08221,22,5.86,0,4,7,100.067,2,330,19.1,9.9067,29.6
0.36894,22,5.86,0,6,8,89.067,4,330,19.1,21.9067,42.8
0.04819,80,3.64,0,4,32,118.203,3,315,16.4,17.2203,21.9
0.03548,80,3.64,0,3,19,92.203,3,315,16.4,25.2203,20.9
0.01538,90,3.75,0,5,34,84.361,2,244,15.9,12.3361,44
0.61154,20,3.97,0,6,87,32.01,4,264,13,21.801,50
0.66351,20,3.97,0,5,100,38.946,3,264,13,12.8946,36
0.65665,20,3.97,0,4,100,31.107,3,264,13,2.0107,30.1
0.54011,20,3.97,0,5,82,28.121,4,264,13,18.1121,33.8
0.53412,20,3.97,0,5,89,33.398,3,264,13,18.1398,43.1
0.52014,20,3.97,0,6,92,22.885,3,264,13,9.2885,48.8
0.82526,20,3.97,0,5,95,20.788,4,264,13,18.0788,31
0.55007,20,3.97,0,5,92,43.301,4,264,13,14.9301,36.5
0.76162,20,3.97,0,3,63,49.865,1,264,13,11.9865,22.8
0.7857,20,3.97,0,5,85,28.329,1,264,13,19.1329,30.7
0.57834,20,3.97,0,6,67,34.216,2,264,13,13.4216,50
0.5405,20,3.97,0,5,53,38.72,1,264,13,20.872,43.5
0.09065,20,6.96,1,3,62,67.175,3,223,18.6,19.9175,20.7
0.29916,20,6.96,0,3,42,60.29,2,223,18.6,22.429,21.1
0.16211,20,6.96,0,4,16,49.29,2,223,18.6,15.429,25.2
0.1146,20,6.96,0,4,59,42.175,4,223,18.6,15.9175,24.4
0.22188,20,6.96,1,5,52,53.665,2,223,18.6,9.3665,35.2
0.05644,40,6.41,1,4,33,56.776,1,254,17.6,15.0776,32.4
0.09604,40,6.41,0,4,43,54.673,4,254,17.6,16.2673,32
0.10469,40,6.41,1,5,49,61.872,4,254,17.6,19.7872,33.2
0.06127,40,6.41,1,4,28,54.628,3,254,17.6,24.8628,33.1
0.07978,40,6.41,0,4,32,70.403,3,254,17.6,23.1403,29.1
0.21038,20,3.33,0,4,32,49.007,4,216,14.9,8.1007,35.1
0.03578,20,3.33,0,5,65,62.947,3,216,14.9,11.6947,45.4
0.03705,20,3.33,0,4,37,67.447,4,216,14.9,9.2447,35.4
0.06129,20,3.33,1,5,50,79.119,3,216,14.9,11.2119,46
0.01501,90,1.21,1,5,25,60.85,2,198,13.6,21.885,50
0.00906,90,2.97,0,5,21,95.073,2,285,15.3,16.3073,32.2
0.01096,55,2.25,0,4,32,96.073,2,300,15.3,13.3073,22
0.01965,80,1.76,0,4,32,99.892,4,241,18.2,10.0892,20.1
0.03871,52.5,5.32,0,4,31,102.172,4,293,16.6,7.3172,23.2
0.0459,52.5,5.32,0,4,46,76.172,1,293,16.6,21.3172,22.3
0.04297,52.5,5.32,0,4,23,102.172,3,293,16.6,16.3172,24.8
0.03502,80,4.95,0,4,28,54.167,4,245,19.2,13.1167,28.5
0.07886,80,4.95,0,5,28,72.167,2,245,19.2,8.1167,37.3
0.03615,80,4.95,0,4,23,57.167,3,245,19.2,23.1167,27.9
0.08265,0,13.92,0,4,18,83.027,4,289,16,24.5027,23.9
0.08199,0,13.92,0,4,42,67.027,2,289,16,24.5027,21.7
0.12932,0,13.92,0,4,31,82.604,4,289,16,24.9604,28.6
0.05372,0,13.92,0,4,51,72.604,1,289,16,6.9604,27.1
0.14103,0,13.92,0,3,58,76.2,1,289,16,9.32,20.3
0.06466,70,2.24,0,4,20,82.278,4,358,14.8,19.8278,22.5
0.05561,70,2.24,0,5,10,87.278,2,358,14.8,16.8278,29
0.04417,70,2.24,0,4,47,99.278,3,358,14.8,8.8278,24.8
0.03537,34,6.09,0,4,40,72.917,1,329,16.1,25.4917,22
0.09266,34,6.09,0,4,18,58.917,4,329,16.1,23.4917,26.4
0.1,34,6.09,0,4,18,68.917,4,329,16.1,11.4917,33.1
0.05515,33,2.18,0,5,41,54.22,4,222,18.4,19.022,36.1
0.05479,33,2.18,0,4,58,51.7,1,222,18.4,8.37,28.4
0.07503,33,2.18,0,5,72,37.992,1,222,18.4,14.0992,33.4
0.04932,33,2.18,0,4,70,56.827,4,222,18.4,8.1827,28.2
0.49298,0,9.9,0,4,83,56.175,2,304,18.4,6.3175,22.8
0.3494,0,9.9,0,3,77,35.025,2,304,18.4,17.1025,20.3
2.63548,0,9.9,0,2,38,27.194,1,304,18.4,17.5194,16.1
0.79041,0,9.9,0,4,53,53.403,2,304,18.4,17.6403,22.1
0.26169,0,9.9,0,4,90,49.34,4,304,18.4,8.834,19.4
0.26938,0,9.9,0,4,83,40.628,4,304,18.4,8.2628,21.6
0.3692,0,9.9,0,4,87,38.023,2,304,18.4,19.6023,23.8
0.25356,0,9.9,0,3,78,51.45,3,304,18.4,12.945,16.2
0.31827,0,9.9,0,3,83,42.986,3,304,18.4,20.9986,17.8
0.24522,0,9.9,0,3,72,57.317,4,304,18.4,9.0317,19.8
0.40202,0,9.9,0,4,67,41.325,2,304,18.4,4.5325,23.1
0.47547,0,9.9,0,4,59,63.019,1,304,18.4,17.0019,21
0.1676,0,7.38,0,4,52,56.404,1,287,19.6,9.5404,23.8
0.18159,0,7.38,0,4,54,71.404,2,287,19.6,22.5404,23.1
0.35114,0,7.38,0,4,50,54.211,3,287,19.6,21.7211,20.4
0.28392,0,7.38,0,3,74,62.211,1,287,19.6,8.7211,18.5
0.34109,0,7.38,0,4,40,67.211,2,287,19.6,24.7211,25
0.19186,0,7.38,0,4,15,77.159,4,287,19.6,16.4159,24.6
0.30347,0,7.38,0,4,29,59.159,1,287,19.6,7.4159,23
0.24103,0,7.38,0,4,44,73.159,4,287,19.6,24.4159,22.2
0.06617,0,3.24,0,3,26,60.146,2,430,16.9,18.2146,19.3
0.06724,0,3.24,0,4,17,62.146,2,430,16.9,10.2146,22.6
0.04544,0,3.24,0,4,32,64.736,2,430,16.9,11.8736,19.8
0.05023,35,6.06,0,3,28,85.407,1,304,16.9,14.6407,17.1
0.03466,35,6.06,0,4,23,88.407,4,304,16.9,8.6407,19.4
0.05083,0,5.19,0,4,38,94.584,1,224,20.2,13.4584,22.2
0.03738,0,5.19,0,4,39,76.584,3,224,20.2,19.4584,20.7
0.03961,0,5.19,0,4,35,79.853,1,224,20.2,21.9853,21.1
0.03427,0,5.19,0,3,46,60.311,4,224,20.2,6.2311,19.5
0.03041,0,5.19,0,3,60,57.15,4,224,20.2,16.615,18.5
0.03306,0,5.19,0,4,37,54.122,4,224,20.2,20.8122,20.6
0.05497,0,5.19,0,3,45,62.122,2,224,20.2,18.8122,19
0.06151,0,5.19,0,3,59,72.122,2,224,20.2,6.8122,18.7
0.01301,35,1.52,0,5,49,89.379,2,284,15.5,25.0379,32.7
0.02498,0,1.89,0,4,60,81.669,1,422,15.9,12.2669,16.5
0.02543,55,3.78,0,4,56,81.321,1,370,17.6,15.7321,23.9
0.03049,55,3.78,0,4,28,76.654,1,370,17.6,21.4654,31.2
0.03113,0,4.39,0,4,49,107.136,4,352,18.8,22.0136,17.5
0.06162,0,4.39,0,3,52,95.136,3,352,18.8,23.0136,17.2
0.0187,85,4.15,0,4,28,93.353,1,351,17.9,9.5353,23.1
0.01501,80,2.01,0,4,30,94.44,1,280,17,28.344,24.5
0.02899,40,1.25,0,4,35,111.921,2,335,19.7,28.7921,26.6
0.06211,40,1.25,0,4,44,88.921,4,335,19.7,19.7921,22.9
0.0795,60,1.69,0,4,36,124.103,3,411,18.3,26.7103,24.1
0.07244,60,1.69,0,3,19,132.103,2,411,18.3,22.7103,18.6
0.01709,90,2.02,0,4,36,145.265,4,187,17,12.1265,30.1
0.04301,80,1.91,0,3,22,106.857,2,334,22,22.5857,18.2
0.10659,80,1.91,0,3,20,127.857,4,334,22,30.5857,20.6
8.98296,0,18.1,1,4,97,29.222,4,666,20.2,18.1222,17.8
3.8497,0,18.1,1,4,91,41.052,1,666,20.2,10.5052,21.7
5.20177,0,18.1,1,4,83,53.227,4,666,20.2,15.7227,22.7
4.26131,0,18.1,0,4,81,41.091,4,666,20.2,14.5091,22.6
4.54192,0,18.1,0,4,88,51.182,2,666,20.2,2.5182,25
3.83684,0,18.1,0,4,91,22.955,1,666,20.2,3.2955,19.9
3.67822,0,18.1,0,3,96,32.036,3,666,20.2,20.1036,20.8
4.22239,0,18.1,1,3,89,37.047,4,666,20.2,3.9047,16.8
3.47428,0,18.1,1,6,83,42.047,4,666,20.2,2.9047,21.9
4.55587,0,18.1,0,1,88,39.132,3,666,20.2,19.6132,27.5
3.69695,0,18.1,0,2,91,37.523,3,666,20.2,13.7523,21.9
13.5222,0,18.1,0,1,100,19.106,3,666,20.2,3.5106,23.1
4.89822,0,18.1,0,2,100,41.325,3,666,20.2,6.3325,50
5.66998,0,18.1,1,4,97,13.567,2,666,20.2,15.3567,50
6.53876,0,18.1,1,5,98,27.024,3,666,20.2,20.2024,50
